"Url","Nom","Prix","Marque","ratingValue","ratingCount","Nombre de couverts","Format","Classe énergétique","Consommation d'eau","Consommation d'eau par cycle","Consommation d'énergie","Niveau sonore (Norme EN 60704-3)","Nombre de programmes","Qualité de séchage","Sécurités","Hauteur","Largeur (cm)","Profondeur (cm)","Finition","Origine de fabrication","Disponibilité des pièces détachées"
"https://www.darty.com/nav/achat/gros_electromenager/lave-vaisselle/lave-vaisselle/proline_dw_486_white.html","Proline DW 486 WHITE",199,"Proline","4.10",155,12,"Standard","A++",3080,"10 L et plus",258,48,6,"A","Anti-débordement, anti-fuite.","84,5","59,8",60,"Blanc","Chine",5
"https://www.darty.com/nav/achat/gros_electromenager/lave-vaisselle/lave-vaisselle/bosch_sms46iw08e.html","Bosch SMS46IW08E",499,"Bosch","4.30",12,13,"Standard","A++",2660,"Moins de 10 L",262,46,6,"A","Sécurité AquaStop 100% anti-fuite, avec garantie, Sécurité enfants.","84,5",60,60,"Blanc","Allemagne",10
"https://www.darty.com/nav/achat/gros_electromenager/lave-vaisselle/lave-vaisselle/brandt_dfh12227w.html","Brandt DFH12227W",299,"Brandt","3.90",40,12,"Standard","A++",3080,"10 L et plus",258,47,6,"A","Overflow + anti-fuite","84,5","59,8",60,"Blanc","Chine",10
"https://www.darty.com/nav/achat/gros_electromenager/lave-vaisselle/lave-vaisselle/proline_sdw_499a_wh.html","Proline SDW 499A++WH",259,"Proline","4.20",69,9,45,"A++",2940,"Moins de 10 L",222,49,6,"A","Anti-débordement, anti-fuite",85,45,61,"Blanc","Chine",5
"https://www.darty.com/nav/achat/gros_electromenager/lave-vaisselle/lave-vaisselle/beko_lvp62w1.html","Beko LVP62W1",299,"Beko","4.30",39,12,"Standard","A+",3360,"10 L et plus",290,47,5,"A","Anti-débordement, anti-fuite",85,"59,8",60,"Blanc","Turquie",10
"https://www.darty.com/nav/achat/gros_electromenager/lave-vaisselle/lave-vaisselle/bosch_sms46gi05e.html","Bosch SMS46GI05E",549,"Bosch","4.80",26,12,"Standard","A++",2660,"Moins de 10 L",258,44,6,"A","AquaStop 100% anti-fuite.","84,5",60,60,"Silver","Pologne",10
"https://www.darty.com/nav/achat/gros_electromenager/lave-vaisselle/lave-vaisselle/whirlpool_wfc3b16.html","Whirlpool WFC3B16",349,"Whirlpool","3.70",26,13,"Standard","A+",2940,"10 L et plus",293,46,5,"A","Anti-débordement",85,60,60,"Blanc","Pologne",7
"https://www.darty.com/nav/achat/gros_electromenager/lave-vaisselle/lave-vaisselle/bosch_sms_40_d18_eu.html","Bosch SMS40D18EU INOX",399,"Bosch","4.20",193,12,"Standard","A+",3360,"10 L et plus",290,50,,"A","Sécurité Aquastop 100% anti-fuite","84,5",60,60,"Inox","Turquie",10
"https://www.darty.com/nav/achat/gros_electromenager/lave-vaisselle/lave-vaisselle/proline_dwp_1247a_sl.html","Proline DWP 1247A++ SL",269,"Proline",4,42,12,"Standard","A++",3080,"10 L et plus",258,47,6,"A",,"84,5","59,8",61,"Silver","Chine",5
"https://www.darty.com/nav/achat/gros_electromenager/lave-vaisselle/lave-vaisselle/electrolux_esf5525low.html","Electrolux ESF5525LOW",369,"Electrolux",4,29,13,"Standard","A+",3080,,295,45,6,"A","Anti-débordement, Aqua-contrôle",85,60,"62,5","Blanc","Pologne",10
